L1_level|L1_title|L1_ident|L1_type|L1_single|L1_word|L1_plural|L1_aword|L1_p1desc|L1_p1word|L1_p2desc|L1_p2word|L1_p3desc|L1_p3word|L1_example
A36|Cechy |||zaleta|uprzejmy|||||||||
A36|Cechy |||достоинство|учтивый|||||||||
A37|Cechy |||zaleta|grzeczny|||||||||
A37|Cechy |||достоинство|вежливый|||||||||
A38|Cechy |||zaleta|zdolny|||||||||
A38|Cechy |||достоинство|способный|||||||||
A39|Cechy |||zaleta|dumny|||||||||
A39|Cechy |||достоинство|гордый|||||||||
A40|Cechy |||zaleta|utalentowany|||||||||
A40|Cechy |||достоинство|одаренный|||||||||
A41|Cechy |||zaleta|pilny|||||||||
A41|Cechy |||достоинство|старательный|||||||||
A42|Cechy |||zaleta|ambitny|||||||||
A42|Cechy |||достоинство|честолюбивый|||||||||
A43|Cechy |||zaleta|pracowity|||||||||
A43|Cechy |||достоинство|трудолюбивый|||||||||
A44|Cechy |||zaleta|leniwy|||||||||
A44|Cechy |||достоинство|ленивый|||||||||
A45|Cechy |||zaleta|obowiązkowy|||||||||
A45|Cechy |||достоинство|обязательный|||||||||
A46|Cechy |||zaleta|solidny|||||||||
A46|Cechy |||достоинство|надёжный|||||||||
A47|Cechy |||zaleta|punktualny|||||||||
A47|Cechy |||достоинство|пунктуальный|||||||||
A48|Cechy |||zaleta|madry|||||||||
A48|Cechy |||достоинство|мудрый|||||||||
A49|Cechy |||zaleta|rozwaźny|||||||||
A49|Cechy |||достоинство|вдумчивый|||||||||
A50|Cechy |||zaleta|rozsądny|||||||||
A50|Cechy |||достоинство|рассуди́тельный|||||||||
A51|Cechy |||wada|głupi|||||||||
A51|Cechy |||недостаток|глупый|||||||||
A52|Cechy |||zaleta|inteligentny|||||||||
A52|Cechy |||достоинство|умный|||||||||
A53|Cechy |||zaleta|kulturalny|||||||||
A53|Cechy |||достоинство|культурный|||||||||
A54|Cechy |||zaleta|wychowany|||||||||
A54|Cechy |||достоинство|образованный|||||||||
A55|Cechy |||zaleta|sprytny|||||||||
A55|Cechy |||достоинство|умный|||||||||
A56|Cechy |||zaleta|bystry|||||||||
A56|Cechy |||достоинство|сообразительный|||||||||
A57|Cechy |||zaleta|uparty|||||||||
A57|Cechy |||достоинство|упрямый|||||||||
A58|Cechy |||zaleta|elokwentny|||||||||
A58|Cechy |||достоинство|красноречивый|||||||||
A59|Cechy |||wada|smutny|||||||||
A59|Cechy |||недостаток|грустный|||||||||
A60|Cechy |||wada|ponury|||||||||
A60|Cechy |||недостаток|тоскливый|||||||||
A61|Cechy |||zaleta|wesoły|||||||||
A61|Cechy |||достоинство|веселый|||||||||
A62|Cechy |||zaleta|dowcipny z humorem|||||||||
A62|Cechy |||достоинство|с остроумным юмором|||||||||
A63|Cechy |||zaleta|pogodny|||||||||
A63|Cechy |||достоинство|веселый|||||||||
A64|Cechy |||wada|skąpy|||||||||
A64|Cechy |||недостаток|скупой|||||||||
A65|Cechy |||zaleta|oszczędny|||||||||
A65|Cechy |||достоинство|экономный|||||||||
A66|Cechy |||wada|rozrzutny|||||||||
A66|Cechy |||недостаток|расточать|||||||||
A67|Cechy |||zaleta|gościnny|||||||||
A67|Cechy |||достоинство|гостеприимный|||||||||
A68|Cechy |||zaleta|tolerancyjny|||||||||
A68|Cechy |||достоинство|терпимый|||||||||
A69|Cechy |||wada|zarozumiały|||||||||
A69|Cechy |||недостаток|тщеславный|||||||||
A70|Cechy |||zaleta|pewny sobie|||||||||
A70|Cechy |||достоинство|уверенный в себе|||||||||
A71|Cechy |||wada|gadatliwy|||||||||
A71|Cechy |||недостаток|болтливый|||||||||
A72|Cechy |||zaleta|małomowny|||||||||
A72|Cechy |||достоинство|неразговорчивый|||||||||
A73|Cechy |||zaleta|optymista|||||||||
A73|Cechy |||достоинство|оптимист|||||||||
A74|Cechy |||wada|pesymista|||||||||
A74|Cechy |||недостаток|пессимист|||||||||
